Number,Language,"Alternate name(s)",Dialect,Location,Population,Classification,Dictionary,Grammar,Textbooks,"Other Sources",Consonants,Stops,Affricates,Fricatives,Nasals,Laterals,Vibrants,Clicks,"Modified Consonants",Glides,Vowels,"Front vowels","Central vowels","Back vowels","Long vowels","Nasal Vowels","Modified Vowels",Diphthongs,Syllable,Tones,Stress,"Noun number","Noun classes",Gender,Demonstratives,Articles,Pronouns,Syntax,Ergative,"Noun incorporation","Prepositions or postpositions",Comments
1424,Buduma,,,"W Chad (Lac)","25,000","Afro-Asiatic: Chadic: Biu-Mandara: Group B",,,,"§Benton, P. A. 1912. Notes on Some Languages of the Western Sudan. London: Oxford Univ Press. [Reprinted 1968 by Frank Cass & Co, London, as The Languages and Peoples of Bornu, vol 1.] 
WALS","§p t     k
b  d     ɡ
        č 
        ǧ
f              h
m n
     l
     r","p b t d k ɡ","č ǧ","f h","m n"," l"," r",,"§c
Nc b ɡ ǧ","j w",§,"i e","ə a","u o",,,,,,,,"s p",,,2,,"§1 4
2 5
3mf 6","SVO NA NG ND N-POSS",,,PREP,
1425,Kotoko,,,"N Cameroon","40,000","Afro-Asiatic: Chadic: Biu-Mandara: Group B",,,,,"§




",,,,,,,,,,,,,,,,,,,,,"s p",,,,,,NG,,,,
1426,Logone,Lagwan,,Cameroon,,"Afro-Asiatic: Chadic: Biu-Mandara: Group B",,,,WALS,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
1427,Hausa,,,"N Nigeria (Kano)","20 million (12 million speak it as a first language)","Afro-Asiatic: Chadic: West: Group A: Hausa","§Abraham, R. C. 1962. Dictionary of the Hausa Language. London: Univ of London Press.
 Skinner, Neil. 1970. English-Hausa Dictionary. Zatia: Northern Nigerian Publishing Company.","§Abraham, R. C. 1959. The Language of the Hausa People. London: Univ of London Press.
Taylor, F. W. 1959. A Practical Hausa Grammar. Oxford: Clarendon Press.","§Hodge, Carleton T. and Ibrahim Umaru. 1963. Hausa Basic Course. Washington, D.C.: Foreign Service Institute.
Kraft, Charles H. and Marguerite E. Kraft. 1973. Introductory Hausa. Berkeley: Univ of California Press.
 Kraft, Charles H. and Anthony Kirk-Gree","§ Kraft, Charles H. 1963. A Study of Hausa Syntax, 3 vols. HSL 8-10.
Hoffman, Carl. 1969. ""Hausa,"" in TNL, 73-84.","§     t         k kʷ kj kʔ kʔʷ kʔj ʔ
b ɓ d ɗ      ɡ  ɡʷ ɡj 
              č 
              ǧ
ɸ     s sʔ  š                              h
       z
m    n
        l
       ɾ ɾ","b ɓ t d ɗ k kʷ kj kʔ kʔʷ kʔj ɡ ɡʷ ɡj ʔ","č ǧ","ɸ s sʔ z š h","m n",l,"ɾ ɾ",,c," j ʔj w",§,"I ɛ",ə," ʋ ɔ","i ē a u ō",,,"ai au","(C)V(C) ","hi lo fall downdrift",,"s p",,"m f"," 2 + ref",,"§1 4
2 5
3mf 6 + indef","SVO AN/NA NG DN/ND N-NUM N-POSS D+A+N+Num",,,PREP,
1428,Gwandara,,,"C Nigeria (Benue-Plateau)","30,000","Afro-Asiatic: Chadic: West: Group A: Hausa",,,,"Matsushita, Shuji. 1974. A Comparative Vocabulary of Gwandara Dialects. Tokyo: Institute for the Study of Languages and Cultures of Asia and Africa.","§p t     k kp
b  d     ɡ ɡb
       č 
       ǧ
    s  š           h
    z
m n
     l
     ɾ","p b t d k ɡ kp ɡb","č ǧ","s z š h","m n",l,ɾ,,"§cj p k ɡ 
cʷ b k ɡ č h","j w",§,"i e",a,"u o",,"ṽ all",,,,"hi mid lo (+ 6 contour tones)",,,,,,,"§ 1 4
2 5
3 6",N-POSS,,,,
1429,Karekare,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Bole",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,Bole,,,"NE Nigeria (Bornu)","32,000","Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Bole",,,"Lukas, J. 1971. ""Über das erweiterte Verb im Bolanci (Nordnigerien),"" JAL 10, 1-14.","Benton, P. A. 1912. Notes on Some Languages of the Western Sudan. London: Oxford Univ Press. [Reprinted 1968 by Frank Cass & Co, London, as The Languages and Peoples of Bornu, vol 1.]","§p   t          k     ʔ
b ɓ d ɗ       ɡ ɠ
              č 
              ǧ
f     s      š        h
       z
m    n         ŋ
       l
       r","p b ɓ t d ɗ k ɡ ɠ ʔ","č ǧ","f s z š h","m n ŋ",l," r",,"Nc b d ɡ ǧ z","j ʔj w",§,"i e",a,"u o","v all",,,,,"hi fall",,"s p",,,2,def,"§1 4
2 5
3mf 6","SVO NA NG ND N-NUM N-POSS",,,PREP,
1431,Bele,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Bole",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,Ngamo,,,"NE Nigeria (North-Eastern)","18,000","Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Bole",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,Maha,,,"N Nigeria (North-Eastern)",,"Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Bole",,,,"Newman, Paul. 1965. ""A Brief Note on the Maha Language,"" JWAL 2:1, 57-8.","§p   t        k
b ɓ d ɗ     ɡ
             č 
             ǧ
      s      š      h
m   n        ŋ
      l ɬ 
        ɮ
        r"," p b ɓ t d ɗ k ɡ","č ǧ","s š h","m n ŋ","l ɬ ɮ",r,,"§
Nc"," j w",§,"i e",a,"u o",,,,,,,,,,,,,"§1 4
2mf 5
3mf 6",,,,,
1434,Kirfi,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Bole",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,Deno,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Bole",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1436,Kubi,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Bole",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,Galambu,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Bole",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,Gera,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Bole",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,Kanakuru,,,"NE Nigeria (North-Eastern)","20,000","Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Tangale",,,,"§STAL 
WALS","§p   t        k ʔ
b ɓ d ɗ     ɡ
            ǧ
f     s     š
m   n    ñ  ŋ
       l
       r","p b ɓ t d ɗ k ɡ ʔ",ǧ,"f s š","m n ñ ŋ",l," r",,c,"j w",§," i e","ə a","u o",v,,,,,"§hi
lo",,,,,,,,SVO,,,,
1440,Tangale,,,"E Nigeria (North-Eastern)","100,000","Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Tangale",,,,"§Jungraithmayr H. 1971. ""The Tangale Vowel Harmony System Roconsidered,"" JAL 10, 28-33. 
WALS","§




",,,,,,,,,,§,"i I e ɛ",a,"u ʋ o ɔ","v all ?",,"vowel harmony",,,,,"s p",,,,,"§1 4
 2mf 5
3mf 6","SVO NG N-POSS",,,,
1441,Pero,,,"E Nigeria  (North-Eastern)","20,000","Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Tangale",,,,WALS,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
1442,Kupto,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Tangale",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,Gerka,,,"EC Nigeria  (NE Benue-Plateau) "," 8,000","Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Angas",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,Angas,,,"C Nigeria (Benue-Plateau)"," 100,000","Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Angas",,,,"§Burquest, D. A. 1971. A Preliminary Study of Angas Phonology. Studies in Nigerian Languages, No. 1. Zaria: Institute of Linguistics.
 STAL","§p   t         k  ʔ
b ɓ d ɗ      ɡ
            č  
            ǧ
f     s     š       h
v    z     ž  ɣ
m   n         ŋ
       l
       r"," p b ɓ t d ɗ k ɡ ʔ","č ǧ","f v s z š ž ɣ h","m n ŋ",l,r,,"§Nc p b ɓ t d ɗ k ɡ č ǧ s š ž l w 
cj p b k ɡ 
cʷ p b ɓ k ɡ č ǧ f v s š ž m","j w",§,"i I e ɛ",a,"u o","ɨ a",,,əI,(C)V(C)(C),"hi mid lo",,"s p",,,,,,"SVO NA N-NUM N-POSS",,,PREP,
1445,Sura,Mupun,,"EC Nigeria (N Benue-Plateau)"," 40,000","Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Angas",,,,"§STAL 
WALS","§p ph t th          k kh
ɓ       ɗ
               č čh
f        s     š                h
v       z     ž       ɣ
m      n     ñ       ŋ
          l
          r","p ph ɓ t th ɗ k kh"," č čh","f v s z š ž ɣ h","m n ñ ŋ",l,r,,,"j w",§,"i e"," ə a","u o"," v",,,,,"hi lo fall",,,,,,,,SVO,,,,
1446,Kofyar,," Kwolla","EC Nigeria (N Benue-Plateau)"," 70,000","Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Angas","Netting, Robert. 1967. A Word List of Kofyar. Research Notes from the Department of Linguistics and Nigerian Languages 1.2. Ibadan: Univ of Ibadan.",,,,"§p   t           k
b ɓ d ɗ        ɡ
              č 
              ǧ
f      s     š
v      z    ž
m     n         ŋ
         l
         r","p b ɓ t d ɗ k ɡ","č ǧ","f v s z š ž","m n ŋ",l,r,,,"j w",§,"i ɛ","ə a","u ɔ","v all",,,,,"hi mid lo",,,,,,,,"NG N-POSS",,,,
1447,Chip,,,"C Nigeria (NE Benue-Plateau) "," 6,000","Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Angas",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1448,Goemai,Ankwe,,"C Nigeria (Benue-Plateau)"," 80,000","Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Angas",,,,"§STAL 
WALS","§p ph t th        k kh
b ɓ    d ɗ        ɡ
                č 
                ǧ
f        s      š          h
v       z      ž
m      n      ñ   ŋ
          l
          r","p ph b ɓ t th d ɗ k kh ɡ","č ǧ","f v s z š ž h","m n ñ ŋ",l,r,,,"j w",§,"i e","ə a","u o",v,,,,,"hi lo",,,,,,,,SVO,,,,
1449,Montol,,,"EC Nigeria  (N Benue-Plateau) "," 20,000","Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Angas",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,Tal,,,"EC Nigeria (N Benue-Plateau)"," 10,000","Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Angas",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,Pyapun,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Angas",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452,Koenoem,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group A: Bole-Angas: Angas",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,Fyer,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group A: Ron",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,Ron,,,"C Nigeria (Plateau)","20,000","Afro-Asiatic: Chadic: West: Group A: Ron",,,,WALS,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
1455,Sha,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group A: Ron",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,Kulere,,,"Nigeria (Benue-Plateau)","8,000","Afro-Asiatic: Chadic: West: Group A: Ron",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,"§1 4d 4ie
2mf 5
3mf 6",,,,,
1457,Karfa,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group A: Ron",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,Shagawu,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group A: Ron",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,Duwai,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group B: Bade",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,Bade,,,"NE Nigeria   (NW North-Eastern)"," 100,000","Afro-Asiatic: Chadic: West: Group B: Bade",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,NG,,,,
1461,Ngizim,,,"N Nigeria (NW North-Eastern)","25,000","Afro-Asiatic: Chadic: West: Group B: Bade","Schuh, Russell G. 1981. A Dictionary of Ngizim. UCPL 99.",,,"Schuh, Russell G. 1971. ""Verb Forms and Verb Aspects in Ngizim,"" JAL 10, 47-60.","§p   t    c  k
b ɓ d ɗ ɉ  ɡ
f     s    š     h
v    z    ž
m   n    ñ
      l ɬ 
       ɮ
       ɾ r","p b ɓ t d ɗ c ɉ k ɡ",,"f v s z š ž h","m n ñ","l ɬ ɮ","ɾ r",,"§cʷ k ɡ ŋɡ
Nc b d ɡ","j ʔj w",§,i,"(ɨ) a",u,"i ē a u ō",,,"ai au",,"hi lo (ris) fall downstep downdrift",,"s p",,,"2 + ref",,"§1 4ie
2mf 5
3mf 6","SVO NA/AN",,,,
1462,Warji,Warjawa,,"NC Nigeria (North-Eastern)","40,000","Afro-Asiatic: Chadic: West: Group B: Warji",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,Pa'a,"Owon Afa",,"Nigeria (Western)",,"Afro-Asiatic: Chadic: West: Group B: Warji",,,,"Awobuluyi, Oladele. 1972. ""The Morphophonemics of Owon Afa,"" Research Notes from the Department of Linguistics and Nigerian Languages 5.2-3, 25-44.","§p t      k kp
b  d      ɡ ɡb
        č 
        ǧ
f   s   š            h hʷ
m n      ŋ ŋm
     l
     r","p b t d k ɡ kp ɡb","č ǧ","f s š h hʷ","m n ŋ ŋm",l,r,,"cʷ h","j w",§,"i e ɛ",a,"u o ɔ",,"  ã ũ ",,,,"hi mid lo",,,,,,,,"SVO AN NG",,,PREP,
1464,Siri,Sirawa,,"NC Nigeria (North-Eastern)","2,000","Afro-Asiatic: Chadic: West: Group B: Warji",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,Diri,Diryawa,,"NE Nigeria (North-Eastern)","3,300","Afro-Asiatic: Chadic: West: Group B: Warji",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,Jimbin,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group B: Warji",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,Miya,Miyawa,,"NE Nigeria (North-Eastern)","5,200","Afro-Asiatic: Chadic: West: Group B: Warji",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,Mburku,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group B: Warji",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,Kariya,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group B: Warji",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,Tsagu,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group B: Warji",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,Zaar,Seyawa,,"EC Nigeria (North-Eastern)","50,000","Afro-Asiatic: Chadic: West: Group B: Zaar",,,,"Schneeberg, Nan. 1971. ""Sayanci Verb Tonology,"" JAL 10, 87-100.","§p   t    c    k
b ɓ d ɗ ɉ    ɡ
      ts    č
      dz   ǧ
f     s     š
v     z    ž
m    n    ñ  ŋ
       l ɬ
         ɮ
       r"," p b ɓ t d ɗ c ɉ k ɡ","ts dz č ǧ","f v s z š ž","m n ñ ŋ","l ɬ ɮ",r,,"Nc b d ɉ ɡ dz ǧ","j w",§,"i e","ə a","u o","v all",,,,,"hi mid lo ris fall",,,,,,,,"SVO NA NG",,,,
1472,Barawa,,,"EC Nigeria",,"Afro-Asiatic: Chadic: West: Group B: Zaar",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,Zeem,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group B: Zaar",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,Polchi,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group B: Zaar",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,Geji,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group B: Zaar",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,Guruntum,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group B: Zaar",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,Ju,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group B: Zaar",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Boghom,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group B: Zaar",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,Mangas,,,Nigeria,,"Afro-Asiatic: Chadic: West: Group B: Zaar",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,Hamar,Hamer,,"SW Ethiopia  (S Gemu Gofa)"," 22,500","Afro-Asiatic: Omotic: South",,"Lydall, Jean. 1976. ""Hamer,"" in NSLE, 393-438.",,,"§p   t          k     qʔ ʔ
b ɓ d ɗ       ɡ ɠ
      ts      č 
             ǧ
      s      š             h
      z
m   n     ñ   ŋ
       l 
       ɾ"," p b ɓ t d ɗ k ɡ ɠ qʔ ʔ","ts č ǧ","s z š h","m n ñ ŋ",l,ɾ,,"c s m n l r ...","j w",§,"i e",a,"u o",,,"§vowel harmony
 Ḭ  æ̰ ʋ̰  (v̰ = constricted pharynx and retracted tonɡue root; v = open pharynx and advanced tonɡue root)","aj aw je jo ej oj we ow",,,,"s p",,"m f",2,def,"§1 4
2 5
3","SOV NA GN ND N-POSS",,,POST,
1481,Ari,,,"SW Ethiopia  (W Gemu Gofa)"," 32,000","Afro-Asiatic: Omotic: South",,,,E,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
1482,Dime,,,"SW Ethiopia  (NW Gemu Gofa)"," 2,000","Afro-Asiatic: Omotic: South",,,,WALS,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
1483,Dizi,Maji,,"SW Ethiopia  (SW Kefa)"," 18,000","Afro-Asiatic: Omotic: North: Dizoid",,"Allan, Edward J. 1976. ""Dizi,"" in NSLE, 377-92.",,,"§    t tʔ           k kʔ
b   d              ɡ
     tsʔ    č čʔ 
               ǧ
f   s     š               h
  z     ž
m n
     l
     r","b t tʔ d k kʔ ɡ","tsʔ č čʔ ǧ"," f s z š ž h","m n",l,r,,,"j w",§,"i e","ə a","u o",,,,,"(C)(C)V(C)(C) l↔| ","hi mid lo",," s p",,"m f",,,"§1 4d 4
2mf 5
3mf 6","SOV AN/NA GN NUM-N/N-NUM POSS-N",,,POST,
1484,Nao,Nayi,,"SW Ethiopia  (W Kefa)"," 5,000","Afro-Asiatic: Omotic: North: Dizoid",,,,E,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
1485,Shako,Sheko,,"SW Ethiopia  (W Kefa)"," 23,000","Afro-Asiatic: Omotic: North: Dizoid",,,,E,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
1486,Bambeshi,,,Ethiopia,,"Afro-Asiatic: Omotic: North: Mao",,,,E,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
1487,Hozo,,,Ethiopia,,"Afro-Asiatic: Omotic: North: Mao",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,Sezo,,,Ethiopia,,"Afro-Asiatic: Omotic: North: Mao",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Ganza,,,Ethiopia,,"Afro-Asiatic: Omotic: North: Mao",,,,E,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
1490,Kafa,Kefa,,"SW Ethiopia (C Kefa)"," 170,000","Afro-Asiatic: Omotic: North: Gonga: South",,"§Cerulli, Enrico. 1951. La lingua caffina. Rome: Istituto per l'Oriente.
Fleming, Harold C. 1976. ""Kefa (Gonga) Languages,"" in NSLE, 351-76.",,,"§p (pʔ) t tʔ           k k ʔ
b         d              ɡ
                  č čʔ 
                  ǧ
f                 š              h
m        n
           l
           r","p (pʔ) b t tʔ d k kʔ ɡ ʔ","č čʔ ǧ","f š h","m n"," l"," r",,"c all but ʔ h","j w",§,"i e",a,"u o","v all",,,," (C)V(C)","hi lo",,"s p",,"m f",2,,"§1 4
2 5
3mf 6","SOV AN GN DN NUM-N POSS-N D+A+N",,,POST,
1491,Mocha,Shekkacho,,"SW Ethiopia  (SC Ilubabor)",,"Afro-Asiatic: Omotic: North: Gonga: South","Leslau, Wolf. 1959. A Dictionary of Moča (Southwestern Ethiopia). UCPL 18.",,,E,"§p pʔ   ʔ          k kʔ  ʔ
b                        ɡ
                 č čʔ 
                 ǧ
                š                h
m       
           ","p pʔ b  ʔ  k kʔ ɡ ʔ","č čʔ ǧ"," š h","m ",,,,"c all but ʔ h","j w",§,"i e","ə ɐ","u o ɑ","v all but ə",,,,,"hi lo fall",,,,,,,,SOV,,,,
1492,Bosha,,,Ethiopia,,"Afro-Asiatic: Omotic: North: Gonga: South",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Anfillo,"Southern Mao",,"W Ethiopia  (N Ilubabor)"," 2,000","Afro-Asiatic: Omotic: North: Gonga: Central",,,,E,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
1494,Naga,,,Ethiopia,,"Afro-Asiatic: Omotic: North: Gonga: North",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Guba,,,Ethiopia,,"Afro-Asiatic: Omotic: North: Gonga: North",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,Boro,Shinasha,,"W Ethiopia  (W Gojam)"," 4,000","Afro-Asiatic: Omotic: North: Gonga: North",,,,E,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
1497,Amuru,,,Ethiopia,,"Afro-Asiatic: Omotic: North: Gonga: North",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,Janjero,Yemsa,,"SW Ethiopia (S Gemu Gofa)"," 1,000","Afro-Asiatic: Omotic: North: Gimojan: Janjero",,"Cerulli, Enrico. 1938. Il linguaggio dei Giangerò ed alcune lingue sidama dell'Omo. Rome: Istituto per l' Oriente.",,,"§p pʔ t  tʔ               k qʔ  ʔ
b       d ḍʔ          ɡ
                 č čʔ 
                 ǧ
ɸ f     s      š          χ   h
          z                 ’
m mʔ n      ñ      ŋ
          l
          r"," p pʔ b t tʔ d ḍʔ k ɡ qʔ ʔ","č čʔ ǧ","ɸ f s z š χ ’ h","m mʔ n ñ ŋ",l,r,,"c all ?","j jʔ w",§,"i e",a,"u o","v all",,,,,,,,,,,,"§1 4
2 5
3 6
politeness: 5 pol","SOV AN GN DN NUM-N N-POSS",,,POST,
1499,Fuga,,,Ethiopia,,"Afro-Asiatic: Omotic: North: Gimojan: Janjero",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,Bencho,Gimira,,"SW Ethiopia  (N Kefa )"," 5,000","Afro-Asiatic: Omotic: North: Gimojan: Gimira",,,,WALS,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
1501,She,,,"SW Ethiopia  (SE Ilubabor)"," 42,000","Afro-Asiatic: Omotic: North: Gimojan: Gimira",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Chara,,,"SW Ethiopia (C Kefa)"," 1,000","Afro-Asiatic: Omotic: North: Gimojan: Chara",,,,"Cerulli, Enrico. 1938. Il linguaggio dei Giangerò ed alcune lingue Sidama dell'Omo. Rome: Istituto per l'Oriente.","§   t tʔ             k kʔ ʔ
b  d dʔ        ɡ
    tsʔ    č čʔ 
           ǧ
f   s      š             h
    z      ž
m n nʔ
     l
     r"," b t tʔ d dʔ k kʔ ɡ ʔ","tsʔ č čʔ ǧ","f s z š ž h","m n nʔ",l,r,,"c all ?","j ʔj w",§,"i e",a,"u o","v all",,,,,,,,,,2,,"§1 4
2 5
3","SOV AN GN DN NUM-N POSS-N",,,POST,
1503,Basketo,,,"SW Ethiopia (C Gemu Gofa)"," 9,000","Afro-Asiatic: Omotic: North: Gimojan: Ometo: West",,,,"§Cerulli, Enrico. 1938. Il linguaggio dei Giangerò ed alcune lingue Sidama dell'Omo. Rome: Istituto per l'Oriente. 
E","§p      t tʔ              k kʔ
b bʔ     d dʔ                  ɡ
          tsʔ       č čʔ 
                    ǧ
f         s         š              h
          z
m mʔ n nʔ
          l
          r"," p b bʔ t tʔ d dʔ k kʔ ɡ","tsʔ č čʔ ǧ","f s z š h","m mʔ n nʔ",l,r,,"c all ?","j w",§,"i e",a,"u o","v all",,,,,,,,,,,,"§1 4
2 5
3mf 6",SOV,,,,"SOV GN POSS-N"
1504,Male,,,Ethiopia," 12,000","Afro-Asiatic: Omotic: North: Gimojan: Ometo: South",,,,E,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
1505,Oyda,,,Ethiopia," 3,000","Afro-Asiatic: Omotic: North: Gimojan: Ometo: Central",,,,E,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
1506,Ometo,"Walamo, Gamo",Gofa,"SW Ethiopia (NE Gemu Gofa)"," 908,000","Afro-Asiatic: Omotic: North: Gimojan: Ometo: Central",,"GD: Moreno, Martino Mario 1938. Introduzione alla lingua ometo. Rome: A. Mondadori.",,"§ Ohman, Walter A., et al. 1976. ""Three Other Ethiopian Languages,"" in LE.
 LA","§p pʔ t tʔ                k kʔ ʔ
b       d           ɡ
         tsʔ     č čʔ 
                ǧ
f        s sʔ  š              h
m      n
          l
          r","p pʔ b t tʔ d  k kʔ ɡ ʔ","tsʔ č čʔ ǧ","f s sʔ š h","m n",l,r,,c,"j w",§,"i e",a,"u o","v all",,,diphthongs,,,,"s p (pl forms not normally used)",,"m f","3 + ref",,"§1 4
2 5
3mf 6","SOV AN GN DN NUM-N POSS-N",,,POST,
